DATA_DESCRIPT   = Mackey Glass
INPUT_FEATURES  = 4
OUTPUT_FEATURES = 1
TRAIN_RECORDS   = 3000
DATA_ROWS       = 3000	  % 30 years
CODEC_FORMAT    = 1		  % time series
1.06837	1.17901	1.25697	1.13743	1.17921
1.09864	1.18587	1.27054	1.08368	1.1992
1.1237	1.19331	1.2718	1.02827	1.21819
1.14378	1.20366	1.25741	0.973285	1.23632
1.15923	1.21854	1.22801	0.920146	1.25366
1.17065	1.23752	1.18672	0.869735	1.27032
1.17901	1.25697	1.13743	0.822427	1.28637
1.18587	1.27054	1.08368	0.778102	1.30139
1.19331	1.2718	1.02827	0.736174	1.31358
1.20366	1.25741	0.973285	0.695775	1.31899
1.21854	1.22801	0.920146	0.656153	1.31244
1.23752	1.18672	0.869735	0.617153	1.29069
1.25697	1.13743	0.822427	0.579425	1.2544
1.27054	1.08368	0.778102	0.54426	1.20701
1.2718	1.02827	0.736174	0.513313	1.15252
1.25741	0.973285	0.695775	0.488535	1.0942
1.22801	0.920146	0.656153	0.47234	1.03439
1.18672	0.869735	0.617153	0.467778	0.974599
1.13743	0.822427	0.579425	0.478327	0.915819
1.08368	0.778102	0.54426	0.506834	0.858689
1.02827	0.736174	0.513313	0.553623	0.803643
0.973285	0.695775	0.488535	0.615102	0.75097
0.920146	0.656153	0.47234	0.684565	0.700848
0.869735	0.617153	0.467778	0.754813	0.653366
0.822427	0.579425	0.478327	0.820323	0.608571
0.778102	0.54426	0.506834	0.877823	0.566566
0.736174	0.513313	0.553623	0.925783	0.52765
0.695775	0.488535	0.615102	0.96373	0.492464
0.656153	0.47234	0.684565	0.991791	0.462063
0.617153	0.467778	0.754813	1.01052	0.437993
0.579425	0.478327	0.820323	1.02084	0.422458
0.54426	0.506834	0.877823	1.02404	0.418495
0.513313	0.553623	0.925783	1.02168	0.42984
0.488535	0.615102	0.96373	1.01565	0.459929
0.47234	0.684565	0.991791	1.00819	0.509762
0.467778	0.754813	1.01052	1.00199	0.575835
0.478327	0.820323	1.02084	1.00006	0.650495
0.506834	0.877823	1.02404	1.00543	0.725034
0.553623	0.925783	1.02168	1.02034	0.79274
0.615102	0.96373	1.01565	1.04524	0.849889
0.684565	0.991791	1.00819	1.07772	0.895177
0.754813	1.01052	1.00199	1.11217	0.928761
0.820323	1.02084	1.00006	1.14114	0.951542
0.877823	1.02404	1.00543	1.15864	0.964752
